	rowtime	anomalyScore
127	2018-10-14 22:25:00	0.90074176
128	2018-11-09 03:00:00	0.76296186
129	2018-10-17 13:20:00	1.1571941000000001
130	2018-10-25 19:50:00	0.61224586
131	2018-10-17 13:30:00	0.8817311
132	2018-11-05 19:30:00	0.63240635
133	2018-10-29 11:05:00	0.70202464
134	2018-11-02 06:05:00	0.7958991999999999
135	2018-11-02 04:15:00	0.7957951
136	2018-10-16 02:15:00	0.7789264
137	2018-11-06 05:25:00	0.6163593
138	2018-11-02 04:10:00	0.7015968
139	2018-10-13 17:20:00	0.8368104999999999
140	2018-11-10 21:05:00	0.8204513000000001
141	2018-11-02 22:35:00	0.63392586
142	2018-10-21 10:05:00	0.6507097
143	2018-10-24 20:05:00	0.8296195
144	2018-11-10 05:25:00	0.7120334
145	2018-10-21 18:35:00	0.8391076
146	2018-11-04 12:50:00	1.0452633
147	2018-10-22 10:30:00	1.1147407
148	2018-10-17 22:45:00	0.6908006999999999
149	2018-10-14 02:55:00	0.6069584
150	2018-11-02 12:55:00	0.7362590999999999
151	2018-11-04 18:40:00	0.6224265999999999
152	2018-11-01 21:55:00	1.2971294
153	2018-10-15 03:10:00	1.8790016
154	2018-11-08 04:50:00	0.9464565999999999
155	2018-11-04 13:45:00	0.7898158000000001
156	2018-11-10 07:00:00	0.7638212
157	2018-11-02 00:40:00	0.8722367
158	2018-10-20 13:05:00	1.4778441
159	2018-11-06 02:15:00	0.6271691999999999
160	2018-10-28 17:10:00	0.74270594
161	2018-10-29 01:45:00	0.88522327
162	2018-11-02 16:20:00	0.59986204
163	2018-10-20 10:35:00	1.0401314
164	2018-10-16 19:40:00	1.2394025
165	2018-11-05 14:05:00	0.7264352
166	2018-11-08 07:20:00	0.6376748000000001
167	2018-10-31 00:40:00	1.1223727
168	2018-10-21 21:40:00	0.6889038000000001
169	2018-10-10 21:40:00	2.9166179
170	2018-11-03 00:35:00	0.61968905
171	2018-10-25 09:05:00	0.7225904000000001
172	2018-10-18 19:15:00	0.6298233
173	2018-10-11 07:25:00	0.76329255
174	2018-11-05 06:20:00	0.6300284
175	2018-10-25 09:55:00	0.7912751
176	2018-10-18 00:40:00	0.7690992
177	2018-10-16 18:50:00	0.6397746
178	2018-10-11 14:55:00	0.8473652
179	2018-10-26 14:30:00	0.9938985
180	2018-10-26 13:30:00	0.64913815
181	2018-10-28 09:35:00	0.73799676
182	2018-10-26 13:05:00	0.78655136
183	2018-10-16 09:05:00	0.65427047
184	2018-10-22 13:05:00	0.82605755
185	2018-10-27 06:45:00	0.61687446
186	2018-10-11 02:55:00	0.9091225000000001
187	2018-10-13 05:35:00	1.0503962
188	2018-10-12 11:15:00	1.4371428
189	2018-11-05 21:25:00	0.6726552
190	2018-10-29 21:45:00	0.7698583000000001
191	2018-10-11 14:20:00	0.59809583
192	2018-10-22 14:00:00	0.98276365
193	2018-10-20 17:20:00	0.6244081
194	2018-11-08 04:00:00	0.72221375
195	2018-11-10 21:00:00	0.79314953
196	2018-11-10 20:15:00	0.89028174
197	2018-10-24 16:45:00	0.7824039
198	2018-10-22 11:45:00	0.6096418
199	2018-10-17 02:05:00	0.704906
200	2018-10-12 13:05:00	1.4917954
201	2018-10-27 22:30:00	0.6110239000000001
202	2018-10-18 19:10:00	0.6407797
203	2018-10-21 03:00:00	0.712889
204	2018-10-18 21:10:00	0.9814917999999999
205	2018-10-31 08:30:00	0.6027129
